loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,purpose
24000.0,36.0,10.64,781.65,1,10.0,1,11.918397239722838,2
17000.0,60.0,9.17,354.3,1,10.0,1,11.170449240431308,2
10000.0,36.0,9.17,318.79,1,3.0,2,11.225256725762893,1
12000.0,36.0,9.17,382.55,1,6.0,3,10.373522431293592,2
20000.0,36.0,6.24,610.62,0,10.0,1,11.608244735642321,2
5500.0,36.0,7.26,170.48,0,0.0,1,10.571342565808699,2
16100.0,60.0,13.67,371.88,2,3.0,3,10.645448706505872,2
8000.0,36.0,11.49,263.78,1,9.0,3,11.141876276228,2
15000.0,36.0,6.89,462.41,0,10.0,1,11.034905792929415,1
14475.0,60.0,18.49,371.44,4,,1,10.540090836284206,2
10000.0,36.0,5.32,301.15,0,10.0,2,10.819798284210286,3
10625.0,36.0,13.67,361.44,2,8.0,1,10.933124826700706,10
16000.0,36.0,13.18,540.5,2,10.0,2,11.446796346169297,1
26775.0,60.0,11.49,588.72,1,10.0,1,11.608244735642321,2
21625.0,60.0,16.55,532.22,3,10.0,1,10.753659849198822,1
16000.0,36.0,6.24,488.5,0,10.0,2,11.51293546492023,1
20000.0,36.0,8.18,628.39,1,10.0,3,11.002116507732017,1
21600.0,36.0,12.59,723.54,2,10.0,1,11.225256725762893,2
7000.0,36.0,11.48,230.77,1,1.0,1,10.62135173563291,3
35000.0,60.0,18.49,898.13,4,10.0,1,11.461642696843066,2
16000.0,60.0,11.99,355.84,2,8.0,1,10.92415631759022,2
27000.0,36.0,14.33,927.13,2,0.0,1,11.002116507732017,2
12150.0,36.0,13.18,410.44,2,4.0,2,10.404293143019792,2
2100.0,36.0,13.18,70.94,2,9.0,1,11.050905878263567,2
16000.0,36.0,6.24,488.5,0,2.0,3,11.407576060361786,1
22075.0,60.0,23.99,634.93,5,2.0,3,10.77897712300635,1
6000.0,36.0,9.76,192.93,1,10.0,2,10.463131911491967,2
25000.0,60.0,13.67,577.44,2,10.0,1,12.206077645517674,2
12500.0,36.0,8.38,393.9,1,10.0,1,11.944714374881176,2
15000.0,60.0,21.99,414.2,5,1.0,3,10.819798284210286,2
15000.0,36.0,7.49,466.53,0,,1,11.23850177707664,2
33100.0,60.0,19.99,876.77,4,10.0,3,11.184435286790631,1
5400.0,36.0,9.17,172.15,1,0.0,2,10.819798284210286,2
27375.0,60.0,18.49,702.47,4,4.0,1,11.002116507732017,2
12000.0,36.0,10.64,390.83,1,2.0,3,10.596659732783579,1
11325.0,36.0,16.55,401.24,3,10.0,3,10.203629181337648,1
12800.0,36.0,5.32,385.47,0,10.0,1,11.026808713825016,1
16000.0,60.0,13.67,369.57,2,7.0,3,11.440365524765754,2
30000.0,36.0,7.26,929.89,0,10.0,1,13.217675375388819,2
12000.0,36.0,14.33,412.06,2,0.0,1,11.813037464800539,2
12000.0,60.0,15.41,288.07,3,1.0,3,10.915106645867501,2
17825.0,36.0,13.18,602.15,2,10.0,1,12.031725210748633,1
5950.0,36.0,10.64,193.79,1,0.0,3,10.463131911491967,2
35000.0,36.0,18.49,1273.96,4,3.0,2,11.373674891823535,2
6500.0,36.0,7.26,201.48,0,10.0,1,10.308985993422082,1
6000.0,36.0,17.86,216.5,3,7.0,3,10.308985993422082,2
14000.0,36.0,7.49,435.43,0,10.0,1,11.451060699493427,1
28000.0,60.0,8.38,572.85,1,1.0,2,11.652696102959753,2
20000.0,60.0,13.67,461.96,2,8.0,1,11.849404844423074,2
